nationality,url_flags
Argentine,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/argentina_R.gif
Argentine-Italian,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/argentina_R.gif
American,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/usa_R.gif
American-Italian,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/usa_R.gif
Australian,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/australia_R.gif
Austrian,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/austria_R.gif
Belgian,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/belgica_R.gif
British,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/grabretanha_R.gif
Brazilian,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/brasil_R.gif
Chilean,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/chile_R.gif
Canadian,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/canada_R.gif
Colombian,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/colombia_R.gif
Czech,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/checa_R.gif
Chinese,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/china_R.gif
Danish,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/dinamarca_R.gif
Dutch,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/holanda_R.gif
Finnish,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/finlandia_R.gif
East German,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/alemanha_R.gif
German,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/alemanha_R.gif
French,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/franca_R.gif
Hungarian,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/hungria_R.gif
Indian,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/india_R.gif
Indonesian,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/indonesia_R.gif
Italian,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/italia_R.gif
Irish,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/irlanda_R.gif
Liechtensteiner,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/listenstaina_R.gif
Japanese,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/japao_R.gif
Malaysian,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/malasia_R.gif
Mexican,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/mexico_R.gif
New Zealander,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/novazelandia_R.gif
Monegasque,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/monaco_R.gif
Polish,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/polonia_R.gif
Portuguese,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/portugal_R.gif
Russian,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/russia_R.gif
Rhodesian,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/zimbabwe_R.gif
South African,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/africadosul_R.gif
Spanish,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/espanha_R.gif
Swedish,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/suecia_R.gif
Swiss,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/suica_R.gif
Thai,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/tailandia_R.gif
Uruguayan,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/uruguai_R.gif
Venezuelan,https://paginas.fe.up.pt/~fff/Homepage/Bandeiras/Imagens/venezuela_R.gif
